layers	total_reads_mapped	num_SNVs_reported	total_reads_kept	proteotype	main_group	S-LLPA mean ecological niche	HIMB83 mean coverage	coefficient of HIMB083 genes variation	NCBI Biosample	Number of sequencing pairs	Number of QC sequencing pairs	Location	Project	Depth (m)	Depth Id	Size fractionnation (um)	Year	Month	Day	Exact sampling date	Latitude	Longitude	Chlorophyll Sensor s	Temperature (deg C)	Salinity (PSU)	Oxygen (umol/kg)	Nitrates (umol/L)	NO2 (umol/L)	PO4 (umol/L)	NO2NO3 (umol/L)	SI (umol/L)
PSE_109_05M	17056613	1787177	17051803	B	cold	Yes	653.97	0.78	SAMEA2622316	186059482	173906475	Pacific_Ocean_(South_East)	TARA_Oceans	5.4	SRF	0.22-3	2011	5	12	5/12/2011__1:38:00_PM	1.99	-84.58	0.04	27.62	33.37	198.64	1.21	0.04	0.27	0.90	1.70
PSE_109_30M	13208306	1819258	13203690	B	cold	Yes	436.68	0.86	SAMEA2622336	170004329	161900698	Pacific_Ocean_(South_East)	TARA_Oceans	29.81	DCM	0.22-3	2011	5	13	5/13/2011__12:00:00_AM	2.08	-84.52	0.44	26.53	34.34	203.13	3.89	0.11	0.50	4.60	3.20
PSE_110_05M	15230945	2039028	15228146	B	cold	Yes	479.22	0.9	SAMEA2622376	160898544	152406691	Pacific_Ocean_(South_East)	TARA_Oceans	5.46	SRF	0.22-3	2011	5	21	5/21/2011__12:37:00_PM	-2.01	-84.59	0.29	23.87	35.02	190.82	6.73	0.31	0.75	8.20	3.90
PSE_110_50M	12487687	2003961	12484859	B	cold	Yes	389.82	0.9	SAMEA2622402	211750391	191740452	Pacific_Ocean_(South_East)	TARA_Oceans	48.69	DCM	0.22-3	2011	5	21	5/21/2011__11:21:00_PM	-1.84	-84.63	0.0	21.81	35.07	144.63	10.95	0.41	0.93	10.70	6.00
PSE_111_05M	9983825	1743990	9983716	A	cold	Yes	298.45	1.08	SAMEA2622452	190182767	176459274	Pacific_Ocean_(South_East)	TARA_Oceans	5.89	SRF	0.22-3	2011	5	31	5/31/2011__2:12:00_PM	-16.96	-100.63	0.01	22.77	35.97	208.87	2.57	0.04	0.50	2.68	1.00
PSE_111_90M	6080475	1501253	6080473	B	cold	Yes	152.77	1.01	SAMEA2622478	187063957	173792479	Pacific_Ocean_(South_East)	TARA_Oceans	88.99	DCM	0.22-3	2011	5	31	5/31/2011__9:23:00_PM	-16.96	-100.7	0.33	19.88	35.69	211.55	1.41	0.20	0.44	0.93	0.90
PSE_93_05M	20916498	2118207	20915872	C	cold	Yes	62.12	1.21	SAMEA2621779	137491742	133182810	Pacific_Ocean_(South_East)	TARA_Oceans	5.33	SRF	0.22-3	2011	3	12	3/12/2011__11:49:00_AM	-34.05	-73.08	0.04	18.01	34.30	244.86	-1.49	0.01	0.52	0.02	0.09
PSE_93_35M	16385236	1943356	16384484			No	41.5	1.37	SAMEA2621812	169305863	156224214	Pacific_Ocean_(South_East)	TARA_Oceans	33.77	DCM	0.22-3	2011	3	12	3/12/2011__8:07:00_PM	-33.88	-73.05	0.13	16.4	34.27	237.22	0.66	0.37	1.07	7.55	0.59
PSE_94_05M	20305589	1945439	20305581	C	cold	Yes	155.02	1.24	SAMEA2621839	230009431	216238865	Pacific_Ocean_(South_East)	TARA_Oceans	5.43	SRF	0.22-3	2011	3	18	3/18/2011__2:16:00_PM	-32.78	-87.09	0.16	21.13	34.68	219.17	-0.40	0.00	0.28	0.03	0.09
PSE_96_05M	4768049	911039	4768049			No	47.61	2.2	SAMEA2621859	188910040	177958391	Pacific_Ocean_(South_East)	TARA_Oceans	5.51	SRF	0.22-3	2011	3	24	3/24/2011__1:07:00_PM	-29.72	-101.16	0.3	23.8	35.77	204.14	-0.37	0.00	0.16	0.02	0.53
PSE_98_05M	2388896	645323	2388896			No	23.37	2.2	SAMEA2621990	126571370	119525182	Pacific_Ocean_(South_East)	TARA_Oceans	5.56	SRF	0.22-3	2011	4	3	4/3/2011__6:10:00_PM	-25.83	-111.78	0.13	25.15	36.40	200.54	-1.57	0.00	0.20	0.05	0.38
PSE_99_05M	2476441	726094	2476440			No	28.0	1.64	SAMEA2622074	169274791	139771207	Pacific_Ocean_(South_East)	TARA_Oceans	5.4	SRF	0.22-3	2011	4	9	4/9/2011__2:09:00_PM	-21.15	-104.79	0.17	23.79	36.13	204.00	-1.74	0.00	0.29	0.04	0.55
PSW_112_05M	2593567	777623	2593564			No	37.45	1.22	SAMEA2622518	199504187	183825084	Pacific_Ocean_(South_West)	TARA_Oceans	5.44	SRF	0.22-3	2011	6	14	6/14/2011__4:54:00_PM	-23.28	-129.4	0.21	24.24	36.45	202.17	-0.92	0.01	0.14	0.03	0.80
PSW_122_05M	5472368	961128	5472158	A	cold	Yes	208.52	1.14	SAMEA2622652	139190159	133142079	Pacific_Ocean_(South_West)	TARA_Oceans	5.86	SRF	0.22-3	2011	7	26	7/26/2011__5:34:00_PM	-8.99	-139.21	0.2	26.54	35.37	186.24	3.99	0.12	0.57	5.46	2.19
PSW_123_05M	4470769	864226	4470687	A	cold	Yes	175.23	1.14	SAMEA2622710	171142153	160447865	Pacific_Ocean_(South_West)	TARA_Oceans	5.54	SRF	0.22-3	2011	7	31	7/31/2011__5:24:00_PM	-8.91	-140.28	0.34	26.58	35.36	189.76	3.87	0.14	0.53	4.90	2.22
PSW_124_05M	8504571	1179026	8504367	A	cold	Yes	350.0	1.15	SAMEA2622759	184209882	176765172	Pacific_Ocean_(South_West)	TARA_Oceans	9.9	SRF	0.22-3	2011	8	5	8/5/2011__12:27:00_AM	-9.11	-140.58	0.04	26.52	35.40	190.72	5.11	0.16	0.63	6.18	2.52
PSW_125_05M	10342365	1240416	10342297	A	cold	Yes	445.17	1.13	SAMEA2622817	164252574	157449184	Pacific_Ocean_(South_West)	TARA_Oceans	5.46	SRF	0.22-3	2011	8	8	8/8/2011__5:38:00_PM	-8.91	-142.56	0.25	26.78	35.43	187.30	4.99	0.19	0.56	3.73	1.80
