gene_callers_id	Classification
gene__2232	1
gene__2233	1
gene__2234	1
gene__2235	1
gene__2236	1
gene__2237	1
gene__2238	0
gene__2239	0
gene__2240	1
gene__2241	0
gene__2242	1
gene__2243	1
gene__2244	0
gene__2245	1
gene__2246	1
gene__2247	1
gene__2248	1
gene__2249	1
gene__2250	1
gene__2251	1
gene__2252	1
gene__2253	1
gene__2254	1
gene__2255	1
gene__2256	1
gene__2257	1
gene__2258	1
gene__2259	1
gene__2260	1
gene__2261	1
gene__2262	1
gene__2263	1
gene__2264	1
gene__2265	0
gene__2266	1
gene__2267	0
gene__2268	0
gene__2269	1
gene__2270	1
gene__2271	1
gene__2272	1
gene__2273	0
gene__2274	1
gene__2275	1
gene__2276	1
gene__2277	1
gene__2278	1
gene__2279	0
gene__2280	1
gene__2281	0
gene__2282	0
gene__2283	1
gene__2284	1
gene__2285	0
gene__2286	1
gene__2287	1
gene__2288	1
gene__2289	1
gene__2290	1
gene__2291	0
gene__2292	0
gene__2293	0
gene__2294	1
gene__2295	1
gene__2296	1
gene__2297	1
gene__2298	1
gene__2299	1
gene__2300	0
gene__2301	1
gene__2302	1
gene__2303	1
gene__2304	1
gene__2305	1
gene__2306	1
gene__2307	1
gene__2308	1
gene__2309	1
gene__2310	1
gene__2311	1
gene__2312	1
gene__2313	0
gene__2314	0
gene__2315	0
gene__2316	0
gene__2317	0
gene__2318	0
gene__2319	0
gene__2320	0
gene__2321	0
gene__2322	0
gene__2323	0
gene__2324	1
gene__2325	1
gene__2326	1
gene__2327	0
gene__2328	0
gene__2329	0
gene__2330	0
gene__2331	1
gene__2332	1
gene__2333	1
gene__2334	0
gene__2335	0
gene__2336	1
gene__2337	1
gene__2338	0
gene__2339	0
gene__2340	0
gene__2341	0
gene__2342	0
gene__2343	0
gene__2344	1
gene__2345	1
gene__2346	1
gene__2347	1
gene__2348	1
gene__2349	0
gene__2350	1
gene__2351	1
gene__2352	1
gene__2353	1
gene__2354	0
gene__2355	0
gene__2356	0
gene__2357	1
gene__2358	1
gene__2359	1
gene__2360	1
gene__2361	1
gene__2362	1
gene__2363	1
gene__2364	1
gene__2365	1
gene__2366	1
gene__2367	1
gene__2368	0
gene__2369	1
gene__2370	1
gene__2371	1
gene__2372	1
gene__2373	1
gene__2374	1
gene__2375	1
gene__2376	1
gene__2377	1
gene__2378	1
gene__2379	1
gene__2380	1
